timestamps,TP9,AF7,AF8,TP10,Right AUX
1731646379.630,-18.066,-16.113,-28.320,-63.477,0.000
1731646379.634,-14.160,-23.438,-29.785,-70.312,0.000
1731646379.638,-30.762,-32.715,-26.367,-73.730,0.000
1731646379.642,-25.879,-29.297,-21.484,-60.547,0.000
1731646379.646,-12.207,-19.531,-17.090,-47.363,0.000
1731646379.650,-21.484,-25.879,-6.836,-62.988,0.000
1731646379.654,-18.066,-35.156,-0.488,-87.402,0.000
1731646379.658,-4.883,-25.391,-14.160,-76.660,0.000
1731646379.662,-27.344,-19.043,-23.926,-84.473,0.000
1731646379.665,-53.223,-21.484,-19.043,-94.727,0.000
1731646379.669,-25.879,-14.160,-17.578,-74.707,0.000
1731646379.673,-26.855,-16.602,-17.090,-87.891,0.000
1731646379.677,-53.711,-22.949,-18.066,-107.422,0.000
1731646379.681,-44.922,-19.531,-18.555,-117.188,0.000
1731646379.685,-17.578,-24.902,-25.879,-109.375,0.000
1731646379.689,-19.043,-31.250,-32.227,-80.078,0.000
1731646379.693,-44.434,-46.387,-32.715,-86.914,0.000
1731646379.697,-56.641,-52.246,-23.926,-110.840,0.000
1731646379.701,-69.824,-36.621,-21.484,-117.676,0.000
1731646379.705,-62.500,-37.109,-29.785,-123.535,0.000
1731646379.708,-55.664,-48.340,-21.973,-128.906,0.000
1731646379.712,-56.152,-54.688,-18.555,-119.141,0.000
1731646379.716,-55.176,-56.152,-25.879,-129.883,0.000
1731646379.720,-45.898,-52.734,-23.926,-127.441,0.000
1731646379.724,-25.879,-44.922,-21.484,-114.746,0.000
1731646379.728,-19.531,-49.805,-19.043,-130.859,0.000
1731646379.732,-35.645,-45.898,-16.602,-141.113,0.000
1731646379.736,-38.574,-23.438,-16.602,-123.535,0.000
1731646379.740,-22.461,-29.785,-11.230,-124.023,0.000
1731646379.744,-9.277,-46.875,-11.719,-116.699,0.000
1731646379.747,-24.902,-42.480,-16.113,-89.844,0.000
1731646379.751,-36.621,-31.738,-14.648,-107.422,0.000
